company,source_row_index,title,location,publish_date,post_url,business_line,filter_keep,filter_reasons,source_schema
腾讯,86,元宝增长产品经理（投放策略方向）,深圳,2026-03-23,http://careers.tencent.com/jobdesc.html?postId=2035264585107402752,CSIG / 元宝,True,,tencent
腾讯,87,腾讯云-异构计算产品经理-北京/深圳,深圳,2026-05-27,http://careers.tencent.com/jobdesc.html?postId=1902211071872155648,CSIG,False,要求5年以上工作经验,tencent
腾讯,88,腾讯元宝-大模型应用平台产品经理,北京,2026-05-27,http://careers.tencent.com/jobdesc.html?postId=2052733034666573824,CSIG / 元宝,True,,tencent
腾讯,89,腾讯营销-数据Agent产品经理(深圳/上海),深圳,2026-05-21,http://careers.tencent.com/jobdesc.html?postId=2052676740161122304,CDG / 腾讯广告,True,,tencent
腾讯,90,QQ浏览器-AI搜索产品经理(北京/深圳),北京,2026-05-18,http://careers.tencent.com/jobdesc.html?postId=2034566050108043264,CSIG / 手机浏览器-搜索,True,,tencent
腾讯,91,元宝- AI策略产品经理（图片理解方向）,深圳,2026-05-18,http://careers.tencent.com/jobdesc.html?postId=2021846191561666560,CSIG / 元宝,True,,tencent
腾讯,92,腾讯营销-AIGC平台产品经理-北京/上海,北京,2026-05-13,http://careers.tencent.com/jobdesc.html?postId=2021096465534976000,CDG / 腾讯广告,True,,tencent
腾讯,93,混元大模型数据平台产品经理（深圳）,北京,2026-04-10,http://careers.tencent.com/jobdesc.html?postId=2036691023102640128,TEG / AI,False,要求5年以上工作经验,tencent
腾讯,94,营销与交易产品部-营销云AI产品经理,上海,2026-06-02,http://careers.tencent.com/jobdesc.html?postId=2042466630134558720,CSIG / 腾讯云,True,,tencent
腾讯,95,腾讯会议-AI产品经理-企业应用方向,深圳,2026-03-25,http://careers.tencent.com/jobdesc.html?postId=2036620119203020800,CSIG / 腾讯会议,True,,tencent
腾讯,96,腾讯会议-AI产品经理-AI应用体验方向,深圳,2026-05-29,http://careers.tencent.com/jobdesc.html?postId=2045074510201389056,CSIG / 腾讯会议,True,,tencent
腾讯,97,QQ浏览器-内容生态治理策略产品经理,深圳,2026-05-19,http://careers.tencent.com/jobdesc.html?postId=2034823277918191616,CSIG / 手机浏览器-搜索,True,,tencent
腾讯,98,证券-AI产品经理-金融AI应用体验方向,深圳,2026-05-15,http://careers.tencent.com/jobdesc.html?postId=2052527703940313088,CDG / 自选股,True,,tencent
腾讯,99,营销与交易产品部-营销云AI产品经理,北京,2026-05-14,http://careers.tencent.com/jobdesc.html?postId=2042466628104515584,CSIG / 腾讯云,True,,tencent
腾讯,100,腾讯云生视频产品经理-(上海)or(北京)or,深圳,2026-05-07,http://careers.tencent.com/jobdesc.html?postId=1927266796449144832,CSIG / 腾讯云,True,,tencent
腾讯,101,腾讯会议-AI产品经理-AI应用体验方向,深圳,2026-05-07,http://careers.tencent.com/jobdesc.html?postId=2046083747635425280,CSIG / 腾讯会议,True,,tencent
腾讯,102,腾讯游戏-高级产品经理-游戏AIGC工具产品,深圳,2026-06-02,http://careers.tencent.com/jobdesc.html?postId=2035002397717331968,IEG / Arthub_Arthub,True,,tencent
腾讯,103,金融科技-AI数据产品经理-数据开发方向,深圳,2026-05-29,http://careers.tencent.com/jobdesc.html?postId=2047239002926510080,CDG / 反洗钱与风控公共能力,True,,tencent
腾讯,104,营销与交易产品部-海外营销云产品经理,上海,2026-05-27,http://careers.tencent.com/jobdesc.html?postId=1990330914823102464,CSIG / 腾讯云,False,要求5年以上工作经验,tencent
腾讯,105,搜狗输入法-高级产品经理-用户增长产品,北京,2026-05-18,http://careers.tencent.com/jobdesc.html?postId=2039519256227512320,CSIG / 输入法,False,要求5年以上工作经验,tencent
腾讯,106,证券-高级产品经理-用户成长与转化方向,深圳,2026-04-10,http://careers.tencent.com/jobdesc.html?postId=2038235245421162496,CDG / 自选股,True,,tencent
腾讯,107,微信小店-高级策略产品经理-电商推荐方向,广州,2026-06-05,http://careers.tencent.com/jobdesc.html?postId=1994038383067942912,WXG / WXG公共,True,,tencent
腾讯,108,证券-高级产品经理-用户产品策划/运营方向,深圳,2026-06-05,http://careers.tencent.com/jobdesc.html?postId=1990311305084559360,CDG / 自选股,True,,tencent
腾讯,109,腾讯营销-搜索营销匹配策略高级产品经理,深圳,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=2057294692336451584,CDG / 腾讯广告,False,要求5年以上工作经验,tencent
腾讯,110,混元AIGC模型产品经理（多模态方向）（北京/上海）,深圳,2026-06-01,http://careers.tencent.com/jobdesc.html?postId=1930452494366932992,TEG / AI,False,要求5年以上工作经验,tencent
腾讯,111,元宝-AI 产品经理（用户体验与功能策划方向）,深圳,2026-05-18,http://careers.tencent.com/jobdesc.html?postId=1914143462740041728,CSIG / 元宝,True,,tencent
腾讯,112,腾讯云AI-ToB产品经理-OCR与大模型应用方向,厦门,2026-05-15,http://careers.tencent.com/jobdesc.html?postId=1956030763174612992,CSIG / 腾讯云,True,,tencent
腾讯,113,腾讯云数据智能平台-资深产品经理-出海方向,深圳,2026-04-24,http://careers.tencent.com/jobdesc.html?postId=2047219127009050624,CSIG / 腾讯云-大数据,False,要求5年以上工作经验,tencent
腾讯,114,腾讯游戏-产品经理（游戏发行AI方向）-新星引力计划,深圳,2026-05-21,http://careers.tencent.com/jobdesc.html?postId=1966332041217859584,IEG / 腾讯游戏来联,True,,tencent
腾讯,115,光子艺术部-高级产品经理-(AIGC工具与功能设计方向),深圳,2026-05-13,http://careers.tencent.com/jobdesc.html?postId=2044685787236302848,IEG / 公共,True,,tencent
腾讯,116,《英雄联盟》/《无畏契约》-社区高级产品经理-产品策划,深圳,2026-03-11,http://careers.tencent.com/jobdesc.html?postId=2028729347468324864,IEG / 英雄联盟掌上社区平台,True,,tencent
腾讯,117,腾讯云数据智能平台-资深产品经理-数据治理方向,深圳,2026-04-24,http://careers.tencent.com/jobdesc.html?postId=2047218784430882816,CSIG / 腾讯云-大数据,False,要求5年以上工作经验,tencent
腾讯,118,混元大模型数据策略产品经理-AI Agent / Coding方向（深圳/北京）,北京,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=2059832165742592000,TEG / 混元-公共支持,True,,tencent
腾讯,119,腾讯营销-海外广告联盟-数据策略产品经理-北京/深圳,深圳,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=1978131061376442368,CDG / 腾讯广告,True,,tencent
腾讯,120,腾讯营销-海外广告联盟-流量平台产品经理-北京/深圳,北京,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=2054482156847280128,CDG / 腾讯广告,True,,tencent
腾讯,121,营销与交易产品部-云Mall 高级产品经理（电商交易平台方向）,深圳,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=2043480582519947264,CSIG / 云Mall,False,要求5年以上工作经验,tencent
腾讯,122,光子艺术部-高级产品经理-(AIGC平台架构与商业化策略方向),深圳,2026-05-13,http://careers.tencent.com/jobdesc.html?postId=2044685846426316800,IEG / 公共,False,要求5年以上工作经验,tencent
腾讯,123,腾讯游戏品质管理部-AI测试平台产品负责人-高级技术产品经理,深圳,2026-05-09,http://careers.tencent.com/jobdesc.html?postId=2049714089445470208,IEG / 公共,False,要求5年以上工作经验,tencent
腾讯,124,腾讯视频-业务安全产品策划,深圳,2026-06-04,http://careers.tencent.com/jobdesc.html?postId=2042155810536194048,PCG / 腾讯视频,False,要求5年以上工作经验,tencent
腾讯,125,智慧零售-商业分析/解决方案经理（大数据和AI方向）,深圳,2026-05-22,http://careers.tencent.com/jobdesc.html?postId=2049027531922898944,CSIG / 智慧零售Tob,True,,tencent
腾讯,126,元宝-大模型策略产品（社交方向）,深圳,2026-05-14,http://careers.tencent.com/jobdesc.html?postId=1984457394188607488,CSIG / 元宝,True,,tencent
腾讯,127,视频生成数据标注项目管理负责人,北京,2026-05-09,http://careers.tencent.com/jobdesc.html?postId=2049070724366368768,PCG / 内容理解,False,要求5年以上工作经验,tencent
腾讯,128,QQ游戏大厅-AI产品策划-新星引力计划,上海,2026-05-06,http://careers.tencent.com/jobdesc.html?postId=1984422348790587392,IEG / 移动QQ游戏-页游平台,True,,tencent
腾讯,129,腾讯战略发展部-高级商业分析经理-广告产品方向,深圳,2026-06-08,http://careers.tencent.com/jobdesc.html?postId=1984171559165779968,CDG / 公共,False,要求5年以上工作经验,tencent
腾讯,130,微信基础-后台开发-AI评测方向,广州,2026-06-05,http://careers.tencent.com/jobdesc.html?postId=2059948190203035648,WXG / 微信AI助手,True,,tencent
腾讯,131,腾讯战略发展部-高级商业分析经理-广告产品方向,上海,2026-05-29,http://careers.tencent.com/jobdesc.html?postId=1984171555621593088,CDG / 公共,False,要求5年以上工作经验,tencent
腾讯,132,数字教育-行业拓展经理,北京,2026-04-07,http://careers.tencent.com/jobdesc.html?postId=2029499311267676160,CDG / 公共,False,要求5年以上工作经验,tencent
