code,title,selected_from,selected_row_index,source_count,source_files,publish_date,location,business_line
PR022873,产品经理（电商风控方向）,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,5,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-05-11,上海,产品类
PR022880,产品经理（规则策略）,pinduoduo_jobs_产品经理_all_20260609_162018.csv,11,2,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-05-21,上海,产品类
PR022993,C端产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,11,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2025-11-03,上海,产品类
PR023096,商家端产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,7,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-13,上海,产品类
PR023103,C端物流产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,6,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-13,上海,产品类
PR023246,产品经理（数据产品方向）,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,6,1,pinduoduo_jobs_产品经理_part_23_33_all_20260609_164104.csv,2026-05-11,上海,产品类
PR023316,搜索产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,9,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2025-12-22,上海,产品类
PR023407,支付产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,1,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-14,上海,产品类
PR023408,售后C端产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-14,上海,产品类
PR023409,交易产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,3,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-14,上海,产品类
PR023410,商品体系产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,4,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-14,上海,产品类
PR023411,电商基础产品经理,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,5,1,pinduoduo_jobs_产品经理_part_44_55_all_20260609_164338.csv,2026-01-14,上海,产品类
PR023593,智能服务产品经理,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,11,1,pinduoduo_jobs_产品经理_part_32_43_all_20260609_164257.csv,2026-02-26,上海,产品类
PR023594,平台服务B端产品经理,pinduoduo_jobs_产品经理_all_20260609_162018.csv,4,4,pinduoduo_jobs_产品经理_all_20260609_162018.csv | pinduoduo_jobs_产品经理_all_20260609_162730 copy.csv | pinduoduo_jobs_产品经理_all_20260609_162730.csv | pinduoduo_jobs_产品经理_part_1_14_all_20260609_163854.csv,2026-06-05,上海,产品类
